"","0","1-3","4-6","7-9","10-12","13-15","16-18","19-21","22-24","25-27","28-30","31-33","34-36","37-39","40-42","43-45","46-48","49-51","52-54","55-57","58-60","61-63","64-66","67-69","70-72","73-75","76-78","79-81","82-84","85-87","88-90","91-93","94-96","97-99","100+"
"1990",-5.38351004140407,-6.27627651690866,-8.17949286311509,-8.59965009725384,-8.96105933330939,-8.75994792279488,-7.94472826611357,-7.48515867137933,-7.49951423103724,-7.53722312820948,-7.51060476541262,-7.39043242553056,-7.21494405461044,-6.97464928405105,-6.70001701223718,-6.45478306920481,-6.13478296488337,-5.85211943298547,-5.58985630264443,-5.28033948530198,-5.00103434093189,-4.7456723206685,-4.52016725031505,-4.2799742015981,-3.97429659965821,-3.61344109134521,-3.28206370227505,-2.90299316798295,-2.53380133829148,-2.19048500198676,-1.86204910070815,-1.565804806976,-1.29956213224903,-1.05751463541162,-0.803921586061852
"1991",-5.402895934498,-6.29830210607106,-8.27921133518072,-8.60855732420283,-8.94898013818488,-8.88954968316073,-7.99568896215051,-7.52786788664635,-7.54332767409558,-7.58910481295078,-7.50345463546006,-7.41686037415348,-7.25227533397578,-6.99998889921828,-6.74617351423538,-6.41051155002481,-6.13682545084321,-5.86646371232238,-5.59918200513584,-5.30606405061871,-5.00654993817021,-4.75060420757108,-4.52628517326553,-4.27966789504546,-3.99613412420123,-3.65174404241763,-3.30269000034773,-2.94412804023831,-2.574013911458,-2.22417405633443,-1.90070781926982,-1.60020549774128,-1.34125794116081,-1.11214034643551,-0.85358302828231
"1992",-5.39922070094137,-6.27573755060168,-8.19588717386347,-8.6353273228387,-8.94825357748491,-8.74093082315667,-8.00062897080577,-7.51994794163413,-7.56124546075387,-7.54975243871344,-7.50437223754325,-7.42198357424305,-7.26527175517446,-7.00472518591025,-6.73234369354503,-6.43519102630672,-6.1627654793656,-5.85157845974519,-5.62033823073647,-5.31196665873175,-5.01798578826453,-4.74369076620633,-4.50083776986322,-4.25984207075217,-4.00049174492331,-3.66630508385182,-3.3098256763334,-2.96101435110576,-2.59078872533562,-2.23665127414902,-1.91931901433032,-1.61146114604953,-1.35920485228743,-1.12818199779369,-0.907519684094029
"1993",-5.44315149707304,-6.31065222117702,-8.22163224532827,-8.62204409517226,-8.97362335023921,-8.74305492992687,-8.12235583849889,-7.57878235354801,-7.59494246633093,-7.62972999255095,-7.55856788781529,-7.46815317191106,-7.259106384099,-7.01668235429847,-6.75286075536694,-6.4344071805895,-6.15318601926943,-5.8571278259061,-5.61895930750009,-5.34470767473504,-5.03453968001151,-4.74507247601022,-4.49944641843388,-4.2531272984105,-4.0008223177392,-3.68608376675735,-3.32104857784885,-2.97480041201054,-2.6001183681104,-2.26256003774627,-1.94250145481425,-1.62922251341479,-1.35297734999352,-1.10992977156964,-0.872066148602855
"1994",-5.42835214982913,-6.30722082474187,-8.3076038139461,-8.71505352439428,-9.01547907310007,-8.76468195635118,-8.11386817449096,-7.61689732030638,-7.58141300094271,-7.58597016150373,-7.5627526263267,-7.40423421366708,-7.28209355529415,-7.05732923261196,-6.78402069488703,-6.47054474947778,-6.17596053630819,-5.89233533808921,-5.6330082212509,-5.39143574366487,-5.10093026402259,-4.78203597702568,-4.51984939909297,-4.28590834622617,-4.03173701018048,-3.72717868610491,-3.38494502487914,-3.01440848882778,-2.66068640308392,-2.30778210632534,-1.97470639770929,-1.67095414188694,-1.38712228996531,-1.1582305751501,-0.90093534379096
"1995",-5.47177535591002,-6.33423696249284,-8.22442992214387,-8.57462627965773,-8.80031488111169,-8.70954284750138,-8.01295168412215,-7.60864470789055,-7.55496175057247,-7.57544986041358,-7.51270944257884,-7.38868585508984,-7.2329232955195,-7.03611030073998,-6.77874850015049,-6.47201107644542,-6.14522380608908,-5.89621208249746,-5.59046516886356,-5.37309566052864,-5.08752096499689,-4.78116220783117,-4.51688144724883,-4.26226220685826,-3.99640583633317,-3.71589145622996,-3.3648051833334,-3.00965983962515,-2.64840685103975,-2.30523891115886,-1.96973831150533,-1.65292763032142,-1.37554984900706,-1.15457657053039,-0.855054662506758
"1996",-5.5549416246187,-6.42695725463056,-8.43013137776633,-8.83110904335133,-9.15977480316275,-8.85445985275959,-8.12855676765697,-7.68658225655648,-7.67136041558352,-7.6329994635391,-7.60649396812619,-7.41964004315339,-7.27063416621762,-7.05781198344784,-6.80459812354953,-6.49262780917361,-6.18913551460025,-5.91299245358067,-5.62460662915045,-5.39955154387802,-5.15897116005602,-4.82671024603755,-4.54634444981734,-4.30226382228808,-4.04396059881855,-3.76707858565215,-3.44458728034386,-3.079566812903,-2.74330654265618,-2.38911167839629,-2.05622892234093,-1.75368490584769,-1.4630363344241,-1.21097689126738,-0.973691145522673
"1997",-5.60441429168096,-6.46615929546796,-8.4426862585694,-8.87851677313563,-9.19643882583066,-8.9340914941724,-8.17577480567366,-7.67238705581667,-7.70308484890705,-7.67297981048988,-7.56446404731257,-7.43058897615469,-7.26931339382291,-7.06397358723363,-6.83206443861341,-6.52348253114243,-6.20482623749068,-5.90801119813217,-5.63445037902008,-5.40774952831728,-5.1669951508913,-4.87820513177537,-4.57843256256916,-4.30931531415383,-4.06353355308979,-3.79073944614357,-3.46819103405466,-3.11431896322319,-2.75663215124495,-2.41498418789562,-2.07670105879306,-1.75917701883427,-1.47342847001397,-1.22857980732947,-0.95821391626941
"1998",-5.60521389292648,-6.46614528649703,-8.44800345236116,-8.7304032144572,-9.11769827319457,-8.82606576504627,-8.11212653332808,-7.63070730551355,-7.60918436597896,-7.59392458848727,-7.51860830114522,-7.38257607367842,-7.2146709346502,-7.00336466371485,-6.76480631612916,-6.5042349479596,-6.18663988636772,-5.88119285756607,-5.62974824198968,-5.38184866847185,-5.17398806332406,-4.88479024163273,-4.59438338003611,-4.32557320518507,-4.05391634352446,-3.79363777162168,-3.49963748343915,-3.14737315589549,-2.78141151896573,-2.44842737456268,-2.11045702607364,-1.79815074893232,-1.49967641842406,-1.25303731691959,-1.00804949741817
"1999",-5.68771842702905,-6.55332279729334,-8.54715990192167,-8.922983090198,-9.08789544490401,-8.92135942415052,-8.13719560780706,-7.72692028418236,-7.59673805330017,-7.57993886022125,-7.49989355521368,-7.3664756846368,-7.18969683719971,-7.03659269351618,-6.76295324424918,-6.4871423965317,-6.17720146851012,-5.88536024293694,-5.64709031473215,-5.36197537479884,-5.14917426462201,-4.9072297371402,-4.61175055096337,-4.32014688866711,-4.05571623633293,-3.77748537574238,-3.48948847713007,-3.14280127502387,-2.77088906700325,-2.42838550868065,-2.09379000271629,-1.76305979470542,-1.48026505412404,-1.20922986005021,-0.944115995766953
"2000",-5.71884847302253,-6.60167590796717,-8.58323919641849,-8.99078929496945,-9.28020402656536,-8.97307170074663,-8.26017392012442,-7.7576809079385,-7.65222428887604,-7.606458983427,-7.57900360361848,-7.38748877569851,-7.21704739147375,-7.03049540361087,-6.79023158649664,-6.51116872609628,-6.2340552125274,-5.92239628034314,-5.64037565567539,-5.40004742928831,-5.18757569605637,-4.94872286901213,-4.65851891317888,-4.37592752987829,-4.09373597434366,-3.82360657498387,-3.54171058192232,-3.20528058705654,-2.84616892264639,-2.50277304972518,-2.1722537413097,-1.85127985235849,-1.55097108620341,-1.29214460234619,-1.01029812005439
"2001",-5.78218925624943,-6.65928735089853,-8.67571500400235,-9.01879595422087,-9.30918012816297,-9.0955610784846,-8.24813369022485,-7.80816627566868,-7.67115883925089,-7.6711024453106,-7.58619438751848,-7.40730902122713,-7.26300178056192,-7.02461778428232,-6.79519893185067,-6.54348662095675,-6.23640052231418,-5.95158725258536,-5.67241046709078,-5.43111539758032,-5.19108776501192,-4.98967396366533,-4.71095407368819,-4.41212954461374,-4.12137470129521,-3.84655285767608,-3.55654838090093,-3.25632429057375,-2.89014690729115,-2.53773981663368,-2.20329443297236,-1.88322645813391,-1.58180199199687,-1.31407016752146,-1.01064783280312
