"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"0",-5.38351004140407,-5.402895934498,-5.39922070094137,-5.44315149707304,-5.42835214982913,-5.47177535591002,-5.5549416246187,-5.60441429168096,-5.60521389292648,-5.68771842702905,-5.71884847302253,-5.78218925624943,-5.80544912293458,-5.81774580843081,-5.87172908253436,-5.89142573279375,-5.91347564806392,-5.94985703589056,-5.95910207728204,-6.03689413483056,-6.0589944967412,-6.05065155330341,-6.10988602625893,-6.15066424406609,-6.17678341037226,-6.23238444069579,-6.21446604582413,-6.29520631404451,-6.2745109629978,-6.27987375839504,-6.31653892990743,-6.35340988829317,-6.3719345140761
"1-3",-6.27627651690866,-6.29830210607106,-6.27573755060168,-6.31065222117702,-6.30722082474187,-6.33423696249284,-6.42695725463056,-6.46615929546796,-6.46614528649703,-6.55332279729334,-6.60167590796717,-6.65928735089853,-6.68707854479849,-6.73435057773539,-6.77081719224192,-6.78824534824208,-6.80378377641233,-6.82961993823642,-6.83996731090017,-6.92392917968077,-6.93829016534735,-6.89012155457405,-6.99738548895552,-7.03301580928599,-7.05137121064235,-7.09215850884742,-7.09482473679486,-7.16518036348522,-7.17725929592229,-7.1792014243474,-7.27324696781734,-7.28554771169821,-7.27075241004088
"4-6",-8.17949286311509,-8.27921133518072,-8.19588717386347,-8.22163224532827,-8.3076038139461,-8.22442992214387,-8.43013137776633,-8.4426862585694,-8.44800345236116,-8.54715990192167,-8.58323919641849,-8.67571500400235,-8.73564159010406,-8.71891816048207,-8.79746226211852,-8.7856789611627,-8.79457285662015,-8.86586169661911,-8.90848947006163,-8.9156706012602,-8.93145914079886,-8.56871483452294,-8.82531064218835,-9.12969750861171,-9.02908288885498,-9.17428013425481,-9.21603009535162,-9.23381189471304,-9.15987669287685,-9.12372596163941,-9.43745619726639,-9.34612458224325,-9.36367803666712
"7-9",-8.59965009725384,-8.60855732420283,-8.6353273228387,-8.62204409517226,-8.71505352439428,-8.57462627965773,-8.83110904335133,-8.87851677313563,-8.7304032144572,-8.922983090198,-8.99078929496945,-9.01879595422087,-8.98380211426795,-9.10577976077636,-9.14348232905357,-9.0280007868507,-9.16469878636745,-9.24384113746546,-9.29102787531884,-9.32686272259263,-9.34358154391933,-8.91160650255158,-9.36177899239957,-9.38447117255266,-9.45774717542607,-9.30341356884018,-9.49928367405985,-9.61644642296193,-9.61398514472969,-9.55571264848605,-9.73929206969672,-9.62767352331247,-9.67079451743818
"10-12",-8.96105933330939,-8.94898013818488,-8.94825357748491,-8.97362335023921,-9.01547907310007,-8.80031488111169,-9.15977480316275,-9.19643882583066,-9.11769827319457,-9.08789544490401,-9.28020402656536,-9.30918012816297,-9.34618076082875,-9.31408016320472,-9.44710577615086,-9.43722988087853,-9.43945899469143,-9.49075655946244,-9.49112689632948,-9.51975541273111,-9.54932544876837,-9.06076296465304,-9.62805317872803,-9.63554423130603,-9.47157386662556,-9.55453273161253,-9.61709835465355,-9.7014266033697,-9.65462461167646,-9.60628680060461,-9.79894543206032,-9.78587450243138,-9.70683914895793
"13-15",-8.75994792279488,-8.88954968316073,-8.74093082315667,-8.74305492992687,-8.76468195635118,-8.70954284750138,-8.85445985275959,-8.9340914941724,-8.82606576504627,-8.92135942415052,-8.97307170074663,-9.0955610784846,-9.07980213627607,-9.0413502358544,-9.10725092784726,-9.10459339276205,-9.1483218144229,-9.24160106620749,-9.24206789549761,-9.31017369637157,-9.14479265223511,-8.94872708086885,-9.182186653375,-9.30064451586822,-9.23991573604517,-9.30006818837635,-9.36946378628707,-9.26595427101742,-9.20219068892193,-9.33026883538513,-9.23623582559111,-9.20673075956663,-9.30423293301361
"16-18",-7.94472826611357,-7.99568896215051,-8.00062897080577,-8.12235583849889,-8.11386817449096,-8.01295168412215,-8.12855676765697,-8.17577480567366,-8.11212653332808,-8.13719560780706,-8.26017392012442,-8.24813369022485,-8.25583248944876,-8.30083249892967,-8.381525004197,-8.45214732005608,-8.43353334747553,-8.54015128789248,-8.45115007991234,-8.54889339964246,-8.56593476917418,-8.33224479649856,-8.64801452626033,-8.71406986267023,-8.7362755436089,-8.70816361259631,-8.71104022417827,-8.74774948706663,-8.71613338609624,-8.68330700807901,-8.58430631879608,-8.57458634297411,-8.54199863174091
"19-21",-7.48515867137933,-7.52786788664635,-7.51994794163413,-7.57878235354801,-7.61689732030638,-7.60864470789055,-7.68658225655648,-7.67238705581667,-7.63070730551355,-7.72692028418236,-7.7576809079385,-7.80816627566868,-7.83821269358088,-7.85975852923652,-7.89259561744921,-7.87716991689416,-7.85840005748771,-7.92467466854288,-7.93930878885874,-7.95009830492894,-8.00352230658045,-7.8848357609735,-8.04392134039056,-8.09275710644847,-8.15669483961747,-8.19595245710177,-8.27388233976334,-8.19779787341918,-8.21396148666355,-8.20097601501605,-8.16279366445825,-8.16381343475627,-8.12450686041035
"22-24",-7.49951423103724,-7.54332767409558,-7.56124546075387,-7.59494246633093,-7.58141300094271,-7.55496175057247,-7.67136041558352,-7.70308484890705,-7.60918436597896,-7.59673805330017,-7.65222428887604,-7.67115883925089,-7.70884119380054,-7.7419467995762,-7.73384925263862,-7.66302339248733,-7.74021490960636,-7.71227921463114,-7.70447350940513,-7.69031494711759,-7.7338409356967,-7.63213054822505,-7.79552717937901,-7.78981110920316,-7.80981024862406,-7.94007375313246,-7.91242593380646,-7.98164794131799,-7.98642606185844,-7.94024177469966,-7.86064319823719,-7.87826864216213,-7.85131253793585
"25-27",-7.53722312820948,-7.58910481295078,-7.54975243871344,-7.62972999255095,-7.58597016150373,-7.57544986041358,-7.6329994635391,-7.67297981048988,-7.59392458848727,-7.57993886022125,-7.606458983427,-7.6711024453106,-7.70571087476856,-7.63863463497892,-7.68346461826393,-7.60496587254532,-7.65225518522692,-7.71721234633494,-7.68878624404346,-7.68508051788081,-7.7022077095738,-7.56661240593288,-7.68650307705218,-7.76956659222118,-7.77543194693593,-7.81652861629379,-7.84654771035257,-7.92898056641182,-7.94984466040006,-8.02600832332931,-7.8908517360627,-7.87926415006514,-7.91816243689366
