"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"1",-5.41819271456411,-5.3204014343516,-5.50849163378617,-5.52184849295977,-5.42329572657546,-5.47331262631564,-5.31061466938659,-5.42131133053944,-5.2236682551223,-5.30738535677821,-5.32818705711035,-5.44424296528624,-5.33419327978653,-5.34040683063526,-5.39867154595713,-5.22290660054174,-5.23420424838148,-5.24855243951908,-5.24652504669441,-5.39526338360484,-5.40773164315903,-5.38941891507833,-5.41880167235171,-5.2748704075108,-5.30738535677821,-5.25205611166155,-5.38509168073018,-5.41136513131691,-5.34901820489338,-5.37518761180624,-5.34407757567092,-5.25233017465669,-5.30461716869656,-5.35457982893121,-5.25837383776585,-5.29267531290864,-5.34888145318798,-5.25155210826031,-5.16115270723775,-5.2990256172984,-5.29994268666548,-5.40371121609476,-5.30741058482715,-5.37638161599473,-5.19686969609426,-5.37497057506949
"2",-5.47022731275607,-5.27668210582531,-5.50220133014223,-5.5513932023396,-5.41360701328375,-5.47861936402544,-5.32774205778286,-5.44805596062275,-5.23974473096901,-5.33965095024105,-5.37829282648275,-5.48143764223302,-5.38963253703948,-5.38816767859398,-5.43811060941305,-5.26556464118734,-5.24407731810797,-5.30855559884085,-5.31865885900597,-5.49921886642125,-5.42657582839602,-5.43619992607003,-5.43455527562901,-5.32184191159499,-5.30949156602297,-5.29129706662038,-5.42312237364035,-5.41772722476295,-5.38903998532036,-5.39553005497474,-5.33622278508066,-5.33859263554993,-5.40441370841513,-5.41572572240566,-5.30516979087259,-5.33110712270436,-5.36783358924506,-5.26809664749943,-5.21930657573299,-5.32370799769669,-5.3285848398376,-5.4268441602377,-5.38152942464425,-5.40400237929379,-5.24785146435503,-5.40446819442031
"3",-5.47481352397667,-5.28283484178515,-5.52746264223291,-5.55041738904157,-5.42892275837681,-5.49782129849909,-5.33968534342287,-5.44805479909286,-5.22699348065404,-5.37283619232132,-5.37114185502712,-5.47482784043726,-5.39743297783086,-5.39695166511844,-5.43211965300384,-5.26588309079538,-5.27863239323164,-5.33943419619456,-5.33492844775471,-5.48698823764486,-5.44607171326603,-5.45798624365921,-5.44552354864763,-5.34098168209998,-5.3633861615893,-5.30706148516777,-5.43163621033409,-5.44053091164682,-5.42405974389256,-5.41055368870097,-5.3759957048803,-5.35330061835732,-5.40480184695099,-5.42249945755758,-5.30419460372091,-5.34234344700709,-5.40852628339737,-5.32639590492093,-5.21847806417534,-5.35430164642371,-5.37401228955011,-5.45031303674412,-5.4203132638574,-5.42550322046996,-5.26941800499068,-5.4355332528764
"4",-5.48749316004491,-5.27171048977005,-5.53451576273605,-5.58671702973981,-5.45367143682589,-5.52816962097248,-5.3664377616104,-5.47549855768826,-5.2516198666644,-5.39572073554513,-5.39315235927163,-5.50425848186087,-5.4184407637152,-5.40550399297613,-5.47228392375926,-5.31483605188894,-5.30316811241603,-5.3512688771217,-5.32619948520943,-5.57801671919194,-5.48170308936586,-5.49236702950166,-5.47670626638428,-5.36320901669498,-5.36393700521595,-5.33625602188876,-5.45220891328651,-5.44307265495108,-5.43048397662637,-5.43556422440153,-5.40631691695237,-5.4047818246595,-5.42724224262326,-5.45912364582176,-5.34653539441866,-5.37229119385343,-5.47958627756801,-5.37092676980953,-5.19943448553881,-5.35872151267102,-5.42965687738721,-5.45139046051288,-5.40741039492843,-5.46951146379455,-5.31570567066933,-5.45298251202339
"5",-5.57699212690653,-5.36121243888769,-5.6170278806325,-5.62286261333289,-5.50350435624234,-5.54700182765497,-5.44069001384957,-5.54195320792113,-5.33832719096773,-5.44322638240878,-5.47663694196269,-5.53827142601488,-5.47255885519178,-5.45264056125513,-5.51330551375841,-5.38819831135748,-5.37295578705692,-5.40273610359637,-5.40606071890766,-5.59210068044447,-5.49800809788747,-5.52906097527305,-5.51734191262364,-5.40133396466141,-5.41876557562602,-5.42496621261254,-5.52952459207184,-5.5019352897111,-5.48671293284569,-5.49397829852384,-5.45408618819423,-5.44165439192357,-5.47008718920962,-5.50647871368922,-5.43483607390022,-5.37849650019384,-5.53497684791577,-5.44462141188899,-5.31564665506986,-5.45994610414892,-5.49992572369976,-5.52698238313521,-5.522073605517,-5.53330073266646,-5.37621404525652,-5.51832459128026
"6",-5.58074526637135,-5.36763636263641,-5.60801058327525,-5.60743147305849,-5.57151287776119,-5.58043362359367,-5.41796163322076,-5.51212463688526,-5.37612324445827,-5.4404064145343,-5.47877865471511,-5.54584967037277,-5.46576607451928,-5.45712319813393,-5.53737817798261,-5.39021009250551,-5.39484038153971,-5.42165404517066,-5.42560088925249,-5.67841009316107,-5.51341586624793,-5.52721116891227,-5.52118845498363,-5.39196562810384,-5.43435933660781,-5.4569263029823,-5.52458955695346,-5.25165613361205,-5.49794094376324,-5.49791896702927,-5.46040109664116,-5.42965915809957,-5.49179896560104,-5.49955144290163,-5.41110651742992,-5.39230392272873,-5.56598114868607,-5.45140561095973,-5.33318317607438,-5.42598711508125,-5.45079511317538,-5.50347489056555,-5.52536101335709,-5.5227504990147,-5.35238714337713,-5.46920177755407
"7",-5.64217198602502,-5.42073248877205,-5.67485833979281,-5.68699468152655,-5.61739241564462,-5.61456216415756,-5.49957100966894,-5.60018626447036,-5.45632765174554,-5.58525038627653,-5.5697298429004,-5.62134893499283,-5.56898763052279,-5.55321606781054,-5.66191334856962,-5.51074355452105,-5.49038142779256,-5.49525603469551,-5.53630175024748,-5.73103137677236,-5.5953093083256,-5.63178791275292,-5.60239172811549,-5.48557388023563,-5.52588067059585,-5.54633010854161,-5.61478170282538,-5.62507157652434,-5.57466656594887,-5.59028460723273,-5.58006243129324,-5.53004515724342,-5.58510916874135,-5.62929671672965,-5.53016493818313,-5.42679640099884,-5.62515199447589,-5.55574831983065,-5.43836249901773,-5.54500593918744,-5.56495575207147,-5.59644177086564,-5.64077809846743,-5.60401135058484,-5.48256958587206,-5.56741847266028
"8",-5.69513447661891,-5.4663100733974,-5.67944748698161,-5.71528689748497,-5.63306169685955,-5.64255285941461,-5.55967953328322,-5.60910294821737,-5.47856427690994,-5.64681866308338,-5.62476244358432,-5.66013695005135,-5.61164960990285,-5.57815826154079,-5.69692206119956,-5.53529618531872,-5.54828627187965,-5.5041012230777,-5.60956015908893,-5.7822641513728,-5.62451714598652,-5.68923185030849,-5.65422831669008,-5.56909512540705,-5.56924852226272,-5.59743254862628,-5.66213921746447,-5.6729351824861,-5.61073485250613,-5.64073584708862,-5.59490564847081,-5.59576967940358,-5.64231585447872,-5.65008721729277,-5.56911610136598,-5.45163056382839,-5.66664710740298,-5.61284319697861,-5.46797346989119,-5.5640096627749,-5.5784983096139,-5.63467440980426,-5.65922841297027,-5.64187867134139,-5.48053252900207,-5.6210685685811
"9",-5.74268131961461,-5.53456895402333,-5.71705466176965,-5.74132547595539,-5.68883130254299,-5.6753408010249,-5.57436735477011,-5.64411595873549,-5.52326504432013,-5.62316285650444,-5.62826692218006,-5.66152934469897,-5.64157698542233,-5.58776499667992,-5.74284664006372,-5.56348676171842,-5.55779948838169,-5.58523839533369,-5.61965550356855,-5.83725272629273,-5.65823183780805,-5.71296651918174,-5.67770691633722,-5.57205314226732,-5.59898471731714,-5.61356661251783,-5.68194955685416,-5.69612685384532,-5.6224781016787,-5.66864653515075,-5.66016136132677,-5.67551576894789,-5.68566067091754,-5.68817687787781,-5.55727464140141,-5.48897799696754,-5.71284541935295,-5.65585268049892,-5.50788474259226,-5.57568085912696,-5.63104422585965,-5.64763940944159,-5.69099853849485,-5.67318683147927,-5.54351738314416,-5.64362996426683
"10",-5.72186650957861,-5.51994207189298,-5.66723986365006,-5.70084778507322,-5.68607026605763,-5.66151927916516,-5.5606345321247,-5.6326844206218,-5.53899626737631,-5.60355666908818,-5.65438820727957,-5.66025470405189,-5.61620988017857,-5.60105216495945,-5.72547149006419,-5.56232327778051,-5.56928916981761,-5.61248305447879,-5.63158135510516,-5.85338575957397,-5.64991379941067,-5.6900985283682,-5.68755092194593,-5.62097052794387,-5.60447167166352,-5.61244471994978,-5.69719621178147,-5.72581951639812,-5.66557958700391,-5.6955762381091,-5.67279992913673,-5.601008852123,-5.6590447964414,-5.68686193777195,-5.54480119527017,-5.49363541302964,-5.73909778383693,-5.66398116085333,-5.46919228677021,-5.56462027730953,-5.68669824473879,-5.65063325356655,-5.63407965524193,-5.67319701514162,-5.57190588796809,-5.59953327628274
