Unnamed: 0,real_2020,real_2021,real_2022,fore_2020,fore_2021,fore_2022
23,0.0026623612685242,0.002611562579085,0.0026878144452971,0.00297631,0.00292729,0.00288085
5,0.0032117522202982,0.0028200133732593,0.0036202024958794,0.003578745,0.003534165,0.003491375
2,0.0040012248647545,0.0035710578220699,0.0037815038750026,0.004390055,0.004346465,0.00430532
12,0.003167035730768,0.0034961554731629,0.0034229809228003,0.003166205,0.003122015,0.003076025
38,0.003350015320192,0.0034267326939551,0.0031161117617533,0.00375783,0.00371742,0.003673945
18,0.0026439902815492,0.0024057738572574,0.0028240405503258,0.00282129,0.002777885,0.002734875
40,0.0029751674940412,0.0032129007744487,0.0029601177481218,0.00326736,0.00320838,0.003149455
7,0.0031015766347893,0.0034621873395437,0.0034739160642748,0.003508275,0.003470025,0.003427305
21,0.002430166835049,0.0029110482519979,0.0022102294299506,0.002935455,0.002890255,0.0028418
10,0.0032044947626979,0.0036292808699064,0.0031327806506334,0.00325479,0.00320985,0.003167295
34,0.0028782936263469,0.0031291551281154,0.0031865133502241,0.003063745,0.003010125,0.002954355
1,0.0034320055627297,0.0032616960819626,0.0033394049787492,0.00359668,0.00355274,0.003506075
28,0.0027406186515389,0.0027272078246591,0.0029557109557109,0.00300895,0.002946025,0.00289479
8,0.0037101138851968,0.0034168673322736,0.0036799642251579,0.00348725,0.00343585,0.003386025
17,0.0023856956639366,0.0024945584386999,0.0024412426403714,0.00314318,0.00310683,0.00307037
3,0.0030830022362621,0.0028896594647461,0.0035691182047335,0.00352856,0.00349818,0.003424515
37,0.0025067955300513,0.0030337964929312,0.0027217802237243,0.00335735,0.00331897,0.0032831
46,0.0029501099745138,0.0039217090772343,0.0034510316768381,0.003718,0.00367816,0.0036332
14,0.0029899891128282,0.0030430928748853,0.0029791880652978,0.00301325,0.0029625,0.002914285
39,0.0032464897329762,0.0030327281917358,0.0032181571815718,0.00380236,0.00375443,0.003708045
43,0.0028711992902653,0.0028444386320538,0.0029784433108441,0.00314253,0.00309311,0.003046685
26,0.0027000801586297,0.002495744703069,0.0025127174269773,0.002843545,0.00278867,0.00273745
24,0.0029626082923106,0.0023757282287962,0.0025859491778774,0.0030399,0.00299516,0.0029437
4,0.0026335320452967,0.0026695397138923,0.0035070788857374,0.002991865,0.002956735,0.00291995
45,0.0029152959426569,0.0029238153031389,0.0034936919450991,0.00355018,0.003506725,0.00346058
20,0.002403370000132,0.0026135378634656,0.0027777060024288,0.00282792,0.002786745,0.002742835
42,0.0031710732229635,0.0027563279819891,0.0030739877040491,0.00354946,0.00350205,0.00345367
29,0.0030884840854546,0.0026496565260058,0.0028611750149825,0.00283508,0.002786045,0.00273666
15,0.0030540319329578,0.0022312124555596,0.0034312413306402,0.003429445,0.00339454,0.00335761
44,0.003068122724909,0.0033772195984274,0.0026629072681704,0.00299578,0.00294134,0.0028888
33,0.0027186085667063,0.0030849843425417,0.0031400300217504,0.00305141,0.00300073,0.002954415
27,0.0032201085754558,0.0034819424843254,0.0034564476366434,0.003515745,0.003458975,0.003402775
41,0.0033180817994481,0.0027588158313585,0.0030818278427205,0.003413455,0.003357445,0.00330367
11,0.003227907340909,0.0031764366156511,0.0031121451210466,0.00316055,0.00311529,0.00307029
25,0.0022678867239883,0.002574533734253,0.0025588240952729,0.002568835,0.002518,0.0024703
32,0.0028319697923222,0.0026194852941176,0.0023338824821526,0.003418565,0.003374975,0.00332885
22,0.0032130462913946,0.0028267412652962,0.0029576856649395,0.003080305,0.003028485,0.00297779
9,0.0034071309412729,0.0035270382754193,0.0035377358490566,0.003344805,0.003291595,0.003240545
36,0.0038826081991549,0.002907540220973,0.0034316019341756,0.003140175,0.00308194,0.00302307
13,0.0028271003964086,0.0029332737411293,0.0029510737631579,0.00320406,0.003153205,0.00310347
31,0.002953520907819,0.002853217795625,0.0029694045283419,0.00340949,0.003349775,0.003297255
16,0.002851071841631,0.0026399439685361,0.0032978049810046,0.003083805,0.00303806,0.002994865
30,0.0025363732649534,0.0030083723570313,0.0033339032313215,0.003452215,0.003394585,0.00334064
6,0.0028926366899971,0.0029611611982127,0.0034591027619605,0.00314886,0.00311095,0.003072865
35,0.0031980373688476,0.0032738618386359,0.0026233738307708,0.00324541,0.00318705,0.00312724
19,0.0030341893709531,0.0032226776383717,0.0032048290239273,0.00338287,0.00333626,0.0032881
