"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"1",-7.40708803284734,-7.29795007405446,-7.22681725754565,-7.31152931775439,-7.39247952683339,-7.43263503435126,-7.41752312905469,-7.42021473672827,-7.45399912122304,-7.51468623193328,-7.60414270346703,-7.55030345611873,-7.68057140374056,-7.70431598293117,-7.54379460253566,-7.54506575210468,-7.57753755723735,-7.51084148729855,-7.56995627065207,-7.54810319968997,-7.48476789297568,-7.57714101205872,-7.59713655945354,-7.45944196053134,-7.51113305607315,-7.50767626791526,-7.59325874728542,-7.4099697520249,-7.56292867733031,-7.50488979926223,-7.43973899827645,-7.4462638987481,-7.53801029290265,-7.44584932990232,-7.34495798869226,-7.49051291069669,-7.43552277590625,-7.44266016181157,-7.42174841401947,-7.49520640018534,-7.47730613163726,-7.40343616542167,-7.46175635893246,-7.4580045698285,-7.42596980020784,-7.4910189878883
"2",-7.42114418515129,-7.27947859817601,-7.22276949452195,-7.33383465868062,-7.39069502009216,-7.43423444939609,-7.41978329199511,-7.42767294370414,-7.45734338757071,-7.51964418327918,-7.617622463009,-7.56424560719592,-7.70043885723783,-7.71781050311571,-7.54963061538459,-7.54917281037113,-7.58082732036103,-7.53425366659515,-7.57779158504499,-7.5609925608548,-7.49271733684535,-7.58988537114445,-7.6021031801186,-7.47076143271805,-7.5111988764603,-7.52514492010146,-7.60506310302755,-7.41306779456217,-7.57829787903276,-7.50874907535991,-7.43882867910845,-7.45890388984885,-7.56809166919698,-7.46887382048631,-7.36311544893442,-7.49963822218837,-7.43947262289068,-7.44481365908457,-7.44161329010875,-7.50382475182687,-7.48595900724475,-7.41247209953874,-7.49027742580939,-7.46357303856702,-7.44556248720361,-7.50136486422705
"3",-7.422344643409,-7.28173988880063,-7.24096903023777,-7.33313359550035,-7.39365417122427,-7.43981390253947,-7.42108904551014,-7.42735595784183,-7.45493459639903,-7.52496972470948,-7.61528134197028,-7.56163943959144,-7.70308802070627,-7.72017485374249,-7.54853299443402,-7.54941973309792,-7.59083827378449,-7.54557182618676,-7.57925643430916,-7.55950143269341,-7.49973040324649,-7.59590496783179,-7.60588887105376,-7.47576608165214,-7.53607866659838,-7.53219576233242,-7.60743575511561,-7.42413714343789,-7.59218556232285,-7.51129121513853,-7.4446220492017,-7.46121530257198,-7.56818263916921,-7.47183137431593,-7.36320138502089,-7.5022351937891,-7.44793161830787,-7.45350107649144,-7.44106682686739,-7.51461926427909,-7.50105983950818,-7.422419092517,-7.50537321282557,-7.46799963942787,-7.45520339420463,-7.51269654629506
"4",-7.4257960360004,-7.27686724302455,-7.24555800030572,-7.36002980173991,-7.39815102123662,-7.4492884228468,-7.42541251851942,-7.43519820857157,-7.45954092762747,-7.52874553229642,-7.62165225526068,-7.57303148865383,-7.71039371720183,-7.72263741877193,-7.55519227172924,-7.55411238946608,-7.59759393873805,-7.54978928137448,-7.57837804946341,-7.57120580272525,-7.51514228164234,-7.60518863206986,-7.61627399862611,-7.48147633005954,-7.53608991345278,-7.54480477474299,-7.61452887893679,-7.42501069630483,-7.59434997404068,-7.51590986893111,-7.45087770823525,-7.46845415324386,-7.57511581148048,-7.48535035500743,-7.37993647741165,-7.5090017216487,-7.46293778345675,-7.45989694289994,-7.43436904886763,-7.51670929999932,-7.5175020107805,-7.42213303744862,-7.5006807248314,-7.4769041123464,-7.47295789421446,-7.51917593950735
"5",-7.44934771767661,-7.31566111324056,-7.30458056804808,-7.38677301347703,-7.40796247828752,-7.45491990535387,-7.43600092071354,-7.45325171574669,-7.4756884355296,-7.53638800119402,-7.64372019422757,-7.58531753780375,-7.72966239654486,-7.7359859131332,-7.5617144392309,-7.5621308856983,-7.61766923968901,-7.5693224004463,-7.58677374160641,-7.572978001823,-7.52122566496042,-7.61485940617129,-7.62979691251248,-7.49056843232238,-7.56100985677257,-7.58308611733017,-7.63859498097537,-7.45299551705242,-7.61559791069269,-7.52695428586974,-7.460057625445,-7.47354672208118,-7.58822219498473,-7.50391187422845,-7.41631846399388,-7.51030883978577,-7.47525884379832,-7.47079128419816,-7.47453239814841,-7.55274964129156,-7.53963145843846,-7.45254021471259,-7.54486812168333,-7.48891663976124,-7.49713631421742,-7.54206390237818
"6",-7.45038035503884,-7.31823644650797,-7.29833349873597,-7.37517983689335,-7.42059793559187,-7.46489014694609,-7.43270264686061,-7.44495910180819,-7.48307142503766,-7.53593715448972,-7.64420669895136,-7.58815307938788,-7.72730844116688,-7.73729393831649,-7.56530947248342,-7.56229539617178,-7.62364205551158,-7.57656698388825,-7.58819356080075,-7.58399814594932,-7.52828509779626,-7.61455523599587,-7.63118333241389,-7.48813732585761,-7.56863664495517,-7.59807545927553,-7.63737040503926,-7.33411261778872,-7.61996296228082,-7.52722643780837,-7.46061804498364,-7.4723623778107,-7.59482794680931,-7.50075128899189,-7.40695705551324,-7.51315260529392,-7.48205421364585,-7.47215310767033,-7.4803171317543,-7.54004633511268,-7.52522372168698,-7.44294531920074,-7.54518680820582,-7.48683565385582,-7.48751931143249,-7.52467038774325
"7",-7.46666619040139,-7.33956487577706,-7.34508418880322,-7.43434703765207,-7.42993680428645,-7.47543965560856,-7.44416199325147,-7.46911045377418,-7.49843071236102,-7.55808150427578,-7.66876275834596,-7.61625368902657,-7.76376968498197,-7.76464920131648,-7.58439348566634,-7.57497548713612,-7.651322451159,-7.60415173271729,-7.59970717418033,-7.59071750275039,-7.56199044787836,-7.64359703959007,-7.65797134797779,-7.51112574296422,-7.61005824612916,-7.63640218416782,-7.66565753745971,-7.51232855393636,-7.6500002710301,-7.54516410907057,-7.48315409115327,-7.48607311507321,-7.62350600575194,-7.54983964171221,-7.4555163624167,-7.52102807372618,-7.4942504781852,-7.4871363699103,-7.51590252080538,-7.58268147453976,-7.56052568411714,-7.47934610736253,-7.58962429777541,-7.50295122494076,-7.54032395643616,-7.55918774361618
"8",-7.48125006112242,-7.35927793824981,-7.34853103452354,-7.4545872541684,-7.43302809601502,-7.48397579046291,-7.45294894252281,-7.47181203845019,-7.50269919601594,-7.56793200787217,-7.68327805294537,-7.63065160989868,-7.77871061706341,-7.77194110841168,-7.58992295549907,-7.57751215800538,-7.6678919819307,-7.60746695879765,-7.60806202819718,-7.59710368403494,-7.57400350223347,-7.6596328141161,-7.67519937262094,-7.53204359703393,-7.6298679378351,-7.65863751019332,-7.68062555163146,-7.53494900239876,-7.66363887211981,-7.55469753899898,-7.48571478893376,-7.4957301615961,-7.64100388040457,-7.55781231921038,-7.47154225423638,-7.52729518414464,-7.50301288197354,-7.49549524497467,-7.52597589395598,-7.58969450398889,-7.56398054043851,-7.4943987975251,-7.59665150765454,-7.51100782646633,-7.54053857759769,-7.57864793863447
"9",-7.49370323534534,-7.38821255772462,-7.37528517044171,-7.47454738016778,-7.44363122514236,-7.49375623920431,-7.45478596754315,-7.48121900859707,-7.51109557695518,-7.56412704137947,-7.68431450372689,-7.63111118293663,-7.78925697810846,-7.77481308757629,-7.59728700318812,-7.58109002837239,-7.67012928696602,-7.63843092535392,-7.60903443460663,-7.60436344183778,-7.58798129845356,-7.66604809827158,-7.6832281044683,-7.53280932603131,-7.64380578519673,-7.66583038982289,-7.68677412261606,-7.54587275423978,-7.66818393915302,-7.5595100677293,-7.49882071317847,-7.50768811082184,-7.65463240436312,-7.57246856161288,-7.46566202815662,-7.53687938372363,-7.51312421000772,-7.50206758967145,-7.5400510399168,-7.59384541913083,-7.58087730798665,-7.49929397395399,-7.6084367713212,-7.51719754287261,-7.5651830611514,-7.58622864844162
"10",-7.48813196570924,-7.38115025234006,-7.3403082221872,-7.44447751068343,-7.44318101961636,-7.48977261849365,-7.45296446712499,-7.47857509832495,-7.51433584811266,-7.56095220487663,-7.69098472871639,-7.63092052722986,-7.78044787338929,-7.77849919590032,-7.59451987166039,-7.58072049243964,-7.67451993662357,-7.6482687379182,-7.61013292955725,-7.60645585111608,-7.58445348868618,-7.65983008457241,-7.68666516190501,-7.54441343636075,-7.64578267752319,-7.6657749030922,-7.69166887788321,-7.56035954396073,-7.68495712101714,-7.56459367424621,-7.50125261879324,-7.49674877180822,-7.64611846862035,-7.57191857981837,-7.46164412221553,-7.53740385392928,-7.51882674290934,-7.50333120153914,-7.52637307619453,-7.58994273730575,-7.59873281492411,-7.50040213550464,-7.58702125086092,-7.51725732532887,-7.57650354861441,-7.57141841737656
