"","real_2020","real_2021","real_2022","fore_2020","fore_2021","fore_2022"
"1",0.00343200556272971,0.00326169608196262,0.00333940497874924,0.00359668,0.00355274,0.003506075
"2",0.00400122486475452,0.00357105782206997,0.0037815038750026,0.004390055,0.004346465,0.00430532
"3",0.00308300223626219,0.00288965946474615,0.00356911820473354,0.00352856,0.00349818,0.003424515
"4",0.00263353204529675,0.00266953971389238,0.00350707888573749,0.002991865,0.002956735,0.00291995
"5",0.00321175222029827,0.0028200133732593,0.00362020249587944,0.003578745,0.003534165,0.003491375
"6",0.00289263668999716,0.00296116119821273,0.00345910276196051,0.00314886,0.00311095,0.003072865
"7",0.00310157663478935,0.00346218733954375,0.00347391606427484,0.003508275,0.003470025,0.003427305
"8",0.00371011388519684,0.00341686733227369,0.00367996422515791,0.00348725,0.00343585,0.003386025
"9",0.00340713094127294,0.00352703827541936,0.0035377358490566,0.003344805,0.003291595,0.003240545
"10",0.00320449476269799,0.0036292808699064,0.0031327806506334,0.00325479,0.00320985,0.003167295
"11",0.00322790734090901,0.00317643661565117,0.0031121451210466,0.00316055,0.00311529,0.00307029
"12",0.00316703573076809,0.00349615547316296,0.00342298092280034,0.003166205,0.003122015,0.003076025
"13",0.00282710039640864,0.00293327374112935,0.00295107376315794,0.00320406,0.003153205,0.00310347
"14",0.00298998911282827,0.00304309287488534,0.00297918806529782,0.00301325,0.0029625,0.002914285
"15",0.00305403193295789,0.00223121245555964,0.00343124133064025,0.003429445,0.00339454,0.00335761
"16",0.00285107184163103,0.00263994396853618,0.00329780498100464,0.003083805,0.00303806,0.002994865
"17",0.00238569566393664,0.0024945584386999,0.00244124264037145,0.00314318,0.00310683,0.00307037
"18",0.00264399028154924,0.00240577385725742,0.00282404055032585,0.00282129,0.002777885,0.002734875
"19",0.00303418937095311,0.00322267763837177,0.00320482902392732,0.00338287,0.00333626,0.0032881
"20",0.00240337000013205,0.00261353786346563,0.00277770600242888,0.00282792,0.002786745,0.002742835
"21",0.00243016683504901,0.00291104825199791,0.00221022942995064,0.002935455,0.002890255,0.0028418
"22",0.00321304629139462,0.00282674126529626,0.00295768566493955,0.003080305,0.003028485,0.00297779
"23",0.00266236126852426,0.002611562579085,0.00268781444529718,0.00297631,0.00292729,0.00288085
"24",0.00296260829231069,0.00237572822879625,0.00258594917787743,0.0030399,0.00299516,0.0029437
"25",0.00226788672398833,0.00257453373425309,0.00255882409527291,0.002568835,0.002518,0.0024703
"26",0.00270008015862971,0.00249574470306904,0.00251271742697735,0.002843545,0.00278867,0.00273745
"27",0.00322010857545581,0.00348194248432547,0.0034564476366434,0.003515745,0.003458975,0.003402775
"28",0.00274061865153896,0.0027272078246591,0.00295571095571096,0.00300895,0.002946025,0.00289479
"29",0.00308848408545462,0.00264965652600589,0.0028611750149825,0.00283508,0.002786045,0.00273666
"30",0.00253637326495345,0.00300837235703136,0.00333390323132159,0.003452215,0.003394585,0.00334064
"31",0.00295352090781906,0.00285321779562507,0.00296940452834191,0.00340949,0.003349775,0.003297255
"32",0.00283196979232222,0.00261948529411765,0.00233388248215266,0.003418565,0.003374975,0.00332885
"33",0.00271860856670631,0.00308498434254178,0.00314003002175045,0.00305141,0.00300073,0.002954415
"34",0.00287829362634699,0.00312915512811541,0.00318651335022413,0.003063745,0.003010125,0.002954355
"35",0.00319803736884761,0.00327386183863596,0.00262337383077088,0.00324541,0.00318705,0.00312724
"36",0.00388260819915496,0.00290754022097306,0.00343160193417564,0.003140175,0.00308194,0.00302307
"37",0.00250679553005134,0.00303379649293125,0.00272178022372435,0.00335735,0.00331897,0.0032831
"38",0.00335001532019201,0.00342673269395516,0.00311611176175339,0.00375783,0.00371742,0.003673945
"39",0.00324648973297622,0.00303272819173582,0.00321815718157182,0.00380236,0.00375443,0.003708045
"40",0.00297516749404121,0.00321290077444878,0.00296011774812188,0.00326736,0.00320838,0.003149455
"41",0.00331808179944815,0.00275881583135854,0.00308182784272051,0.003413455,0.003357445,0.00330367
"42",0.00317107322296351,0.00275632798198919,0.00307398770404918,0.00354946,0.00350205,0.00345367
"43",0.00287119929026534,0.00284443863205388,0.00297844331084417,0.00314253,0.00309311,0.003046685
"44",0.003068122724909,0.00337721959842748,0.00266290726817043,0.00299578,0.00294134,0.0028888
"45",0.00291529594265693,0.00292381530313896,0.00349369194509913,0.00355018,0.003506725,0.00346058
"46",0.00295010997451384,0.00392170907723439,0.00345103167683813,0.003718,0.00367816,0.0036332
